epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
71,12344.9,0.69024,0.93879,0.00406,0.90998,0.87528,0.93423,0.80267,0.62393,1.027,0.00359,0.000307,0.000307,0.000307
72,12517.8,0.68696,0.91979,0.00403,0.9225,0.86559,0.93296,0.80232,0.6285,1.04759,0.00366,0.0002971,0.0002971,0.0002971
73,12691.7,0.69197,0.92567,0.00406,0.91803,0.866,0.93294,0.80369,0.62051,1.02896,0.00357,0.0002872,0.0002872,0.0002872
74,12866.4,0.68197,0.90418,0.00395,0.91807,0.8667,0.93226,0.80324,0.62316,1.0436,0.00358,0.0002773,0.0002773,0.0002773
75,13040.9,0.67652,0.90282,0.004,0.92012,0.86917,0.93344,0.80361,0.62503,1.02938,0.00361,0.0002674,0.0002674,0.0002674
76,13214.7,0.67616,0.91514,0.00398,0.90788,0.87858,0.93562,0.80504,0.62519,1.02143,0.0036,0.0002575,0.0002575,0.0002575
77,13388.4,0.67131,0.88781,0.00391,0.9187,0.87363,0.93517,0.80522,0.61959,1.00883,0.00358,0.0002476,0.0002476,0.0002476
78,13562,0.67308,0.88112,0.00391,0.92069,0.87223,0.93469,0.80862,0.6119,0.99504,0.00355,0.0002377,0.0002377,0.0002377
79,13735.6,0.66893,0.8817,0.00394,0.91649,0.87237,0.93264,0.80783,0.61093,1.01524,0.00353,0.0002278,0.0002278,0.0002278
80,13910.4,0.6755,0.87712,0.00398,0.90801,0.8788,0.93536,0.80864,0.6141,0.99051,0.00357,0.0002179,0.0002179,0.0002179
81,14088.2,0.65914,0.85152,0.0039,0.91259,0.87482,0.93514,0.80842,0.61224,1.00322,0.00355,0.000208,0.000208,0.000208
82,14265.6,0.65958,0.86453,0.00385,0.9206,0.86791,0.93468,0.80777,0.61395,1.0173,0.00356,0.0001981,0.0001981,0.0001981
83,14443.2,0.66277,0.85699,0.00388,0.91943,0.8721,0.93521,0.80976,0.61119,1.00809,0.00356,0.0001882,0.0001882,0.0001882
84,14620.7,0.66205,0.85769,0.0039,0.91214,0.87704,0.93496,0.80987,0.6088,1.0082,0.00355,0.0001783,0.0001783,0.0001783
85,14798.3,0.65456,0.85043,0.00384,0.91898,0.87505,0.9344,0.81038,0.60581,1.01614,0.00351,0.0001684,0.0001684,0.0001684
86,14976,0.65906,0.83785,0.00382,0.92338,0.86911,0.93529,0.81128,0.60591,1.01649,0.00351,0.0001585,0.0001585,0.0001585
87,15153.7,0.65794,0.84822,0.00385,0.9178,0.87777,0.93668,0.81235,0.60515,0.99903,0.00352,0.0001486,0.0001486,0.0001486
88,15331.7,0.6528,0.83618,0.00382,0.91834,0.87626,0.93623,0.81257,0.60192,0.99621,0.00349,0.0001387,0.0001387,0.0001387
89,15509.3,0.65048,0.83584,0.0038,0.92789,0.86535,0.93627,0.81162,0.60188,1.00278,0.00348,0.0001288,0.0001288,0.0001288
90,15685.2,0.64417,0.82345,0.00373,0.92252,0.87,0.93614,0.81222,0.59994,0.99851,0.00347,0.0001189,0.0001189,0.0001189
91,15862.1,0.51561,0.47563,0.0029,0.91021,0.87796,0.93489,0.8106,0.60273,1.01747,0.0035,0.000109,0.000109,0.000109
92,16039.5,0.50674,0.46866,0.00286,0.91558,0.87573,0.93489,0.81134,0.60296,1.02183,0.00349,9.91e-05,9.91e-05,9.91e-05
93,16175.1,0.50615,0.45676,0.00282,0.92011,0.87314,0.93351,0.81029,0.60304,1.03098,0.00349,8.92e-05,8.92e-05,8.92e-05
94,16305.3,0.50416,0.45801,0.00282,0.92524,0.86736,0.93395,0.81128,0.60194,1.02224,0.00347,7.93e-05,7.93e-05,7.93e-05
95,16435,0.50321,0.45302,0.00281,0.9231,0.87281,0.93484,0.81195,0.60213,1.01948,0.00345,6.94e-05,6.94e-05,6.94e-05
96,16565.5,0.49735,0.45125,0.00277,0.9221,0.87383,0.93444,0.81175,0.6018,1.02143,0.00345,5.95e-05,5.95e-05,5.95e-05
97,16696.3,0.49668,0.4486,0.00276,0.92682,0.87037,0.93352,0.81237,0.60104,1.01947,0.00345,4.96e-05,4.96e-05,4.96e-05
98,16827,0.4925,0.44392,0.00272,0.92576,0.87238,0.93453,0.81346,0.60075,1.01269,0.00346,3.97e-05,3.97e-05,3.97e-05
99,16957.1,0.49288,0.44634,0.00273,0.92611,0.87283,0.93476,0.81331,0.60115,1.00617,0.00345,2.98e-05,2.98e-05,2.98e-05
100,17087.5,0.49182,0.44337,0.00272,0.92664,0.87235,0.93465,0.81326,0.59988,1.00384,0.00345,1.99e-05,1.99e-05,1.99e-05
